Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89041-600; Agua verde; Praca Antenor Carvalho
89041-598; Agua verde; Praca Hermelino Borges de Jesus
89042-328; Agua verde; Rua Caetano Deeke de Figueiredo
89037-134; Agua verde; Rua Christina de Andrade
89037-425; Agua verde; Rua Conrado Kohls
89037-340; Agua verde; Rua Frei Efren
89042-395; Agua verde; Rua Hermann Schwartz
89042-141; Agua verde; Rua Joel Marcio de Souza
89042-111; Agua verde; Rua Laci Alexandre
89042-325; Agua verde; Rua Manyr Pofahl
89042-030; Agua verde; Rua Otto Wille
89042-010; Agua verde; Rua Wilhelm Grosskreutz
89042-090; Agua verde; Rua Wilhelmina Witthoeft
89079-899; Area rural de blumenau; Area Rural
89037-780; Asilo; Loteamento Ana Cristina
89072-045; Badenfurt; Rua Alfonso Peggau
89070-340; Badenfurt; Rua Benta G de Souza
89072-270; Badenfurt; Rua Carlos Augusto Ferdinan Horn
89074-662; Badenfurt; Rua Dorival Moraes
89070-353; Badenfurt; Rua Hermann Ramthum
89070-640; Badenfurt; Rua Mara Juciline Largura
89070-810; Badenfurt; Rua Margaretha Koser
89070-800; Badenfurt; Rua Nilton Jose Possamai
89070-650; Badenfurt; Rua Paulina Schwambach
89070-245; Badenfurt; Rua Walter Erich Obenhaus
89012-205; Boa vista; Praca Jose Manoel do Nascimento
89012-350; Boa vista; Rua Francisca Perkowsky
89012-330; Boa vista; Rua Jose Manoel do Nascimento
89012-270; Boa vista; Rua Jose Marcolino da Silva
89010-615; Bom retiro; Praca Curt Hering
89010-505; Bom retiro; Praca Dom Pedro II
89010-545; Bom retiro; Rua Alfred Laschewitz
89015-204; Centro; Largo Theodor Julius Karl Darius
89015-015; Centro; Praca da Bandeira
89010-005; Centro; Praca Governador Hercilio Luz
89015-025; Centro; Praca Manoel Pereira da Silva Junior
89010-105; Centro; Praca Professor Joao Mosimann
89010-210; Centro; Rua Cristiano Michels
89012-490; Centro; Rua Ewaldo Jaeger
89012-450; Centro; Rua Felipe Doerk
89012-464; Centro; Rua Joao Kersanach
89012-496; Centro; Rua Professor Luiz Schwartz
89012-482; Centro; Rua Ronaldo Baumgarten
89031-600; Do salto; Praca Otto Blaesing
89031-635; Do salto; Rua Alberto Peschke
89031-685; Do salto; Rua das Gerberas
89031-686; Do salto; Rua das Ipomeias
89031-677; Do salto; Rua das Jardineiras
89031-010; Do salto; Rua Francisco Wuerges Senior
89030-380; Do salto; Rua Josef Bernhard Kunze
89031-116; Do salto; Rua Oswaldo Day
89031-075; Do salto; Rua Presidente Ferreira de Brito
89032-010; Do salto; Rua Wilhelm Schellworth
89037-595; Escola agricola; Praca Arnaldo Machado da Veiga
89031-440; Escola agricola; Rua Albino Oswaldo Clasen
89037-762; Escola agricola; Rua Amabile Fidelis
89037-577; Escola agricola; Rua Artur Koball
89037-686; Escola agricola; Rua Bertoldo Jensen
89031-493; Escola agricola; Rua Carla Fernanda Damasio Mafra
89037-615; Escola agricola; Rua Farmaceutico Gottlieb Ellinger
89031-320; Escola agricola; Rua Jadir Budal de Carvalho
89037-810; Escola agricola; Rua Joao Sant'Anna de Oliveira
89037-767; Escola agricola; Rua Luis Bragagnolo
89037-745; Escola agricola; Rua Luis Olavo dos Santos
89037-236; Escola agricola; Rua Olampio Tomas da Silva
89031-492; Escola agricola; Rua Peter Thomsem
89037-660; Escola agricola; Rua Ricardo Koball
89037-730; Escola agricola; Rua Roza Angela Cunha
89037-820; Escola agricola; Rua Valentim Fortunato Bonelli
89037-606; Escola agricola; Rua Victor Leicht
89037-728; Escola agricola; Rua Vitorio Gregorio Marciano
89060-279; Fidelis; Loteamento Bevenutti
89060-010; Fidelis; Rua 1deg de Janeiro
89060-395; Fidelis; Rua Gerda Hedler
89060-317; Fidelis; Rua Joana Eichstaedt
89060-316; Fidelis; Rua Joao Marcus Faustino
89060-375; Fidelis; Rua Pedro Vermohlen
89058-068; Fortaleza; Loteamento Verde Vale
89056-500; Fortaleza; Rua 1deg de Janeiro
